,driver_id,driver_onboard_date,last_data,total_ride_distance,total_ride_duration,total_ride_cost,total_ride_prime_time,total_time_waited,total_response_time,difference,difference_in_seconds,difference_in_days,mean_ride_distance,mean_ride_duration,mean_ride_cost,mean_ride_prime_time,mean_time_waited,mean_response_time
0,002be0ffdc997bd5c50703158b7c2491,2016-03-29 00:00:00,2016-06-23 10:29:53,1737803,220839,3079.03644609995,5350,51227,2298,86 days 10:29:53.000000000,37793,86,20207.011627906977,2567.8953488372094,35.80274937325523,62.2093023255814,595.6627906976744,26.72093023255814
1,007f0389f9c7b03ef97098422f902e62,2016-03-29 00:00:00,2016-06-22 13:28:38,116983,20289,270.48632024694996,575,5771,361,85 days 13:28:38.000000000,48518,85,1376.270588235294,238.69411764705882,3.1821920029052935,6.764705882352941,67.89411764705882,4.247058823529412
2,011e5c5dfc5c2c92501b8b24d47509bc,2016-04-05 00:00:00,2016-06-12 20:30:38,269653,29205,427.27273740245005,675,7977,248,68 days 20:30:38.000000000,73838,68,3965.485294117647,429.4852941176471,6.28342260885956,9.926470588235293,117.30882352941177,3.6470588235294117
3,0152a2f305e71d26cc964f8d4411add9,2016-04-23 00:00:00,2016-06-26 10:36:13,1469144,173762,2384.443331220933,2050,47929,2679,64 days 10:36:13.000000000,38173,64,22955.375,2715.03125,37.25692705032708,32.03125,748.890625,41.859375
4,01674381af7edd264113d4e6ed55ecda,2016-04-29 00:00:00,2016-06-24 13:27:38,3122018,357112,4939.081830346366,4700,88658,4667,56 days 13:27:38.000000000,48458,56,55750.32142857143,6377.0,88.19788982761368,83.92857142857143,1583.1785714285713,83.33928571428571
5,0213f8b59219e32142711992ca4ec01f,2016-04-07 00:00:00,2016-05-07 22:21:02,1557034,179349,2655.2331396560994,2400,73433,2276,30 days 22:21:02.000000000,80462,30,51901.13333333333,5978.3,88.50777132186998,80.0,2447.766666666667,75.86666666666666
6,021e5cd15ef0bb3ec20a12af99e142b3,2016-05-07 00:00:00,2016-06-25 20:22:52,257670,50447,567.8472987388333,1200,13820,353,49 days 20:22:52.000000000,73372,49,5258.571428571428,1029.530612244898,11.58872038242517,24.489795918367346,282.0408163265306,7.204081632653061
7,0258e250ca195cc6258cbdc75aecd853,2016-04-26 00:00:00,2016-06-26 20:45:14,2464558,269058,3876.4115993707,3475,102473,3787,61 days 20:45:14.000000000,74714,61,40402.59016393442,4410.786885245901,63.54773113722459,56.967213114754095,1679.8852459016393,62.08196721311475
8,028b5a4dcd7f4924ebfabcf2e814c014,2016-05-06 00:00:00,2016-06-26 17:22:28,2951732,350251,4747.242430924467,3950,104132,5972,51 days 17:22:28.000000000,62548,51,57877.098039215685,6867.666666666667,93.08318492008759,77.45098039215686,2041.8039215686274,117.09803921568627
9,02d6a6b8a6da15fc219a9570f7ebbe78,2016-05-03 00:00:00,2016-06-23 15:52:47,1599719,96487,1729.4075106280163,225,39637,755,51 days 15:52:47.000000000,57167,51,31367.039215686276,1891.9019607843138,33.90995118878463,4.411764705882353,777.1960784313726,14.803921568627452
